uid,name,username,viewCount,likeCount,tags,thumbnail_url,face_counts,embedUrl
de57d810ca6e48789eb42e23518785e7,La Retro,Darkkostas25,119,16,"vintage, retro, spore, darkkostas25, vehicle, car, ",https://media.sketchfab.com/models/de57d810ca6e48789eb42e23518785e7/thumbnails/d35e442b3b2f4fc08d2b134c9b3a2361/6f1c6bb371c4404aa4fccda9ddf44ed0.jpeg,38876,https://sketchfab.com/models/de57d810ca6e48789eb42e23518785e7/embed
9db97175e30f45eeb5ace134c3905df7,Red Ferrari 488 GTB,RodyYassen,1307,14,"ferrari, automotive, 3dvisualization, blender, ",https://media.sketchfab.com/models/9db97175e30f45eeb5ace134c3905df7/thumbnails/f3b63580d6b346e2a17f9cd825f7f1fe/9101ba0c9ab84daab17e128e92879839.jpeg,3716311,https://sketchfab.com/models/9db97175e30f45eeb5ace134c3905df7/embed
efd076f93f9142bba369896108cbad80,Ac Cobra 289 Mk 2 Roadster 1963 test,tallulah.yang1,120,4,,https://media.sketchfab.com/models/efd076f93f9142bba369896108cbad80/thumbnails/7a4a58dadfb44ed48e8f156dbdc4ec0d/e24fcb98d3e44680aa8b77a92d83dcc0.jpeg,32534,https://sketchfab.com/models/efd076f93f9142bba369896108cbad80/embed
dfad2dbf7db0401bb4cad60f657ff765,1970 Chevrolet Camaro Pro Touring,everhard,5335,125,"camaro, chevrolet, 1970, chevy, musclecar, speedcar, muscle-car, ",https://media.sketchfab.com/models/dfad2dbf7db0401bb4cad60f657ff765/thumbnails/81233f23ecb04d55b9f56c8b03afd283/b9faceb89b6545558a351765d46e9480.jpeg,708763,https://sketchfab.com/models/dfad2dbf7db0401bb4cad60f657ff765/embed
ee25f381ae594e28a8028d48d8615435,Ford ecosport 2014 lowpad,ithaishabarcelo,559,1,"ford, lowpad, ",https://media.sketchfab.com/models/ee25f381ae594e28a8028d48d8615435/thumbnails/fdf261c027914c0da333f26e1dcd451e/9ff93234695b42a9afa37116cff5253a.jpeg,214954,https://sketchfab.com/models/ee25f381ae594e28a8028d48d8615435/embed
78f9dd9242b549dc9d1c3d909b993677,Campaign Voxel Fun,captainmarlowe,104,2,"field, scenery, campaign, voxel, house, ",https://media.sketchfab.com/models/78f9dd9242b549dc9d1c3d909b993677/thumbnails/b73d688401664e7793a5c1e254d0c8af/1024x576.jpeg,136496,https://sketchfab.com/models/78f9dd9242b549dc9d1c3d909b993677/embed
7d2449443bab4ee7ad7e13b9de862bf6,Delorian_88mph,dannyjackson,2535,19,,https://media.sketchfab.com/models/7d2449443bab4ee7ad7e13b9de862bf6/thumbnails/de1d909bbdbe4efd9b29d861b41fd911/78338d63e3184d6b8a698105ff0eef86.jpeg,464360,https://sketchfab.com/models/7d2449443bab4ee7ad7e13b9de862bf6/embed
12c930aa2a9946d0a3c3b275fcff75cc,Dirty Minibus [RAW],sk9542,2912,118,"prop, photoscan, pbr, car, ",https://media.sketchfab.com/models/12c930aa2a9946d0a3c3b275fcff75cc/thumbnails/ecf6e88c76834342962b90f63b827ef2/b80cadbc71374f4db49020edda3e8ff7.jpeg,799999,https://sketchfab.com/models/12c930aa2a9946d0a3c3b275fcff75cc/embed
244171a3822f4f83bd7c65b432fa93b2,Momoyama Castle -RAWscan,spogna,8399,248,"castle, photogrammetry, 3dscan, ",https://media.sketchfab.com/models/244171a3822f4f83bd7c65b432fa93b2/thumbnails/9b4866d515184016b290abb23fe5b58f/b167c289663c47a9a1d993f220e575d6.jpeg,1211471,https://sketchfab.com/models/244171a3822f4f83bd7c65b432fa93b2/embed
88d039e59a8e4630a06e5b4e18f536cf,Orange,pipja,41,0,,https://media.sketchfab.com/models/88d039e59a8e4630a06e5b4e18f536cf/thumbnails/5e27412ebde24a578b268f27d56fa369/1024x576.jpeg,56574,https://sketchfab.com/models/88d039e59a8e4630a06e5b4e18f536cf/embed
6256d796cbce4ca99eadb21baf46c4fa,Maison 2 niveaux (5),homedesign3d,5,0,"3d, design, home, ",https://media.sketchfab.com/models/6256d796cbce4ca99eadb21baf46c4fa/thumbnails/5f4adf6373264824995a0b1e1958fc9a/e28e3ec48d464b85aafbe09868e4a843.jpeg,353224,https://sketchfab.com/models/6256d796cbce4ca99eadb21baf46c4fa/embed
e6ea88c205214637a9090d4ee1f03223,1968 Chevrolet Chevelle (raw scan),robinmikart,199,11,"raw, lidar, chevrolet, automotive, downloadable, raw-scan, vehicle, car, free, scaniverse, ",https://media.sketchfab.com/models/e6ea88c205214637a9090d4ee1f03223/thumbnails/2c4548de13d34ba7b143cad172971fa2/64965f7c9238430ab82239466f6afc6c.jpeg,127357,https://sketchfab.com/models/e6ea88c205214637a9090d4ee1f03223/embed
f5a932f9737d418f865cf5b64c252185,Mazda RX7 Veilside Stylized Toon,ponter,2321,35,"toon, flat, cartoony, fortune, cartoonish, mazda, shadeless, kitchen, rx-7, rx7, fdm, simple-lowpoly, low-poly, cartoon, vehicle, lowpoly, car, anime, veilside, ",https://media.sketchfab.com/models/f5a932f9737d418f865cf5b64c252185/thumbnails/45fde661757042298ac42f30fe6ac25c/e0a9aae6aade4d2fa4c33ef78a25804b.jpeg,8196,https://sketchfab.com/models/f5a932f9737d418f865cf5b64c252185/embed
f57b9138ff96450e8d359304b15fc3de,Fiat  Punto mk2 - Low poly model,DanielZhabotinsky,2033,54,"kit, automobile, fiat, rally, euro, compact, automotive, italian, tuner, punto, tuning, europe, 90s, low-poly-model, groupb, low-poly, vehicle, lowpoly, car, ",https://media.sketchfab.com/models/f57b9138ff96450e8d359304b15fc3de/thumbnails/928ec8d2f0f64677bc52af5d3e1bc45d/276ae8b0554449f2a478b0e36c7e0913.jpeg,13349,https://sketchfab.com/models/f57b9138ff96450e8d359304b15fc3de/embed
fae168defe694f3cb5176e0b0b18bbb7,Tesla,prajivtv,259,4,,https://media.sketchfab.com/models/fae168defe694f3cb5176e0b0b18bbb7/thumbnails/d2fb5efc59b346dcbb00fe5c139094fb/c317b1b5f36a4bd090fff7c700dc7e3d.jpeg,468782,https://sketchfab.com/models/fae168defe694f3cb5176e0b0b18bbb7/embed
9680eb0737f442299300d8264536a210,Auzrea Car 3,MML0385,19,0,"sketchup, ",https://media.sketchfab.com/models/9680eb0737f442299300d8264536a210/thumbnails/286f451489c04918aa62b8d19140182c/6206064a9604459691b94f15629d0849.jpeg,33964,https://sketchfab.com/models/9680eb0737f442299300d8264536a210/embed
52d39390a03a4c81824adf7309aac3de,2018 Lincoln Continental,David_Holiday,380,14,"truck, suv, omega, intruder, car, sedaan, ",https://media.sketchfab.com/models/52d39390a03a4c81824adf7309aac3de/thumbnails/eebb707faa2d4e8c8efb2447da7910d9/26e4d51210124846903fd243034731e6.jpeg,505264,https://sketchfab.com/models/52d39390a03a4c81824adf7309aac3de/embed
dfe6212df82b4d2d911371c74f3f19a1,Ferrari FXX,lokikikiko75,15,6,"cars, sportscar, blender, car, ",https://media.sketchfab.com/models/dfe6212df82b4d2d911371c74f3f19a1/thumbnails/95d2767cbb8c48aab4fe0312f89b5449/d19307bb24a4452c94726595d06e50e0.jpeg,79722,https://sketchfab.com/models/dfe6212df82b4d2d911371c74f3f19a1/embed
b4582246a1a444d9be24ff8219c0b7e9,Polycam capture,healdsburgjoe95448,0,0,"polycam, ",https://media.sketchfab.com/models/b4582246a1a444d9be24ff8219c0b7e9/thumbnails/969581a17a5c43c181809047e1b5579a/3942c9563a044dfdb0ca95d95e3e3a64.jpeg,57979,https://sketchfab.com/models/b4582246a1a444d9be24ff8219c0b7e9/embed
